id	total	white	black	Asian	other
0508001	1376	1266	0	56	7
0509001	1601	1431	0	92	54
0510001	1393	1189	0	117	73
0511001	1561	1389	96	39	0
0512001	793	671	16	83	12
0512002	943	911	16	0	16
0513001	1421	1347	0	24	21
0513002	1503	1276	17	142	50
0514001	1310	1075	0	127	92
0514002	1088	636	349	15	39
0601001	696	629	29	19	0
0601002	966	933	0	33	0
0601003	1189	959	188	0	31
0602001	874	819	7	29	19
0602002	990	678	10	139	153
0603001	1933	1913	0	20	0
0603002	1257	1190	11	56	0
0604001	2057	1931	0	103	9
0604002	1042	1042	0	0	0
0604003	1064	952	11	0	101
0605001	1152	1046	38	51	5
0608001	1179	993	15	67	104
0608002	0	0	0	0	0
0608003	3548	2618	277	591	49
0609001	1036	727	114	137	31
0609002	0	0	0	0	0
0609003	1019	815	28	161	0
0609004	3311	2704	117	265	118
0609005	732	307	104	94	139
0610001	1757	1524	22	87	62
0611001	1203	1157	0	41	0
0612001	2081	1851	17	102	0
0615001	1878	1766	37	22	26
0618001	985	884	12	42	44
0619011	637	544	0	76	0
0619012	1384	1137	35	22	108
0619013	600	433	68	29	70
0619014	1213	1003	71	70	31
0619021	1025	813	75	107	14
0619022	1819	1476	63	201	0
0619023	1559	1434	0	106	0
0619024	0	0	0	0	0
0620001	1795	1572	55	98	9
0620002	836	790	0	46	0
0621001	773	635	0	124	0
0621002	929	733	15	118	48
0621003	1534	1341	5	99	81
0622001	1843	1550	20	105	69
0622002	1083	1040	0	43	0
0623001	1681	1598	0	50	4
0624001	1850	1711	17	86	13
0625001	1408	1226	45	100	11
0626001	2238	2004	9	160	28
0627001	666	529	21	0	60
0627002	927	821	0	58	22
0627003	948	931	0	7	0
0628001	1287	1021	121	62	64
0628002	1034	939	9	86	0
0628003	1220	1020	121	40	21
0629001	1153	1129	13	0	0
0629002	1081	1007	0	74	0
0629003	2195	2099	0	42	16
0630001	1579	1351	84	59	22
0630002	1212	1170	30	12	0
0630003	678	619	12	12	0
0631001	1175	998	75	56	46
0631002	991	821	5	130	10
0632001	990	819	0	149	0
0632002	536	485	0	51	0
0632003	1106	847	16	17	214
0632004	1342	1225	44	47	26
0632005	797	713	0	50	0
0632006	1746	976	293	435	0
0633011	851	565	75	202	0
0633012	803	663	27	113	0
0633013	644	498	63	83	0
0633021	1795	1585	3	207	0
0633022	663	583	0	80	0
0633023	871	826	0	36	9
0633024	633	513	46	74	0
0633031	592	561	11	20	0
0633032	690	626	0	64	0
0634001	1053	878	85	61	0
0634002	854	723	84	34	13
0701011	1183	1116	0	67	0
0701012	1766	1630	24	100	12
0701013	1135	962	80	81	0
0701021	974	727	77	120	34
0701022	566	464	17	61	0
0701023	752	667	36	44	0
0701031	999	878	16	105	0
0701032	702	585	13	104	0
0702001	2226	1729	134	170	10
0702002	805	660	23	110	0
0702003	924	879	15	16	14
0703001	1820	1624	20	123	9
0703002	1539	1252	23	229	14
0704001	915	682	127	67	29
0704002	1012	919	48	16	20
0704003	1325	1299	1	9	5
0705001	1273	1112	0	126	0
0705002	938	823	67	23	22
0705003	834	797	0	37	0
0706001	1610	1538	8	41	0
0706002	1350	1240	0	30	73
0707001	1952	1498	59	356	20
0707002	1021	587	156	53	178
0710001	2211	1689	159	188	97
0710002	2066	1869	36	63	2
0711001	1818	1603	64	106	19
0711002	1130	1050	27	24	0
0712001	847	825	21	0	0
0712002	1110	925	56	119	0
0713001	2148	1899	96	131	0
0713002	1601	1551	8	37	0
0714001	745	615	25	42	42
0714002	1928	1745	133	28	22
0714003	1319	1231	0	50	38
0714004	565	435	25	70	0
0715001	821	760	0	61	0
0715002	1207	1192	0	15	0
0715003	1207	1069	104	21	13
0715004	1172	839	298	0	11
0715005	507	455	0	52	0
0715006	567	499	16	15	37
0716001	1786	1510	57	84	53
0717001	677	614	40	23	0
0717002	1056	757	200	71	22
0718001	1975	1619	244	112	0
0718002	474	474	0	0	0
0801001	674	530	0	12	0
